Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"d:\WINDOWS\system32\dmserver.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corp.","Logical Disk Manager service dll","Logical Disk Manager for Windows NT","1.0","2600.5512.503.0","32-bit","57EDEC2E5F59F0335E92F35184BC8631","80C6F2808D413AE6FA37F6FD4ADA8DC160F99A0A","AA54F117612931E90A955879A455C46BEDA2021D","0E6865556390EE615CC90FC65D02FC3BBCCA7AEEBF46C496D11BFBECC598E888","61F6F0DC2D1A6C61D5EF0D5CC4BE0FFC217F1E61FDA3EA9F704709293656600F","B97119FA75504975A6FEB368DC1B93BB"
"d:\WINDOWS\system32\dmstyle.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Style Engline","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","649F44444EE82909E572AF0A7A1BBE0A","A6E0B36FDABF1D65EA09721CB8D35C439BCA5D7E","A27E78ED0215A758BE8C17DA6B2814D860C04BA2","8ED7562DCC02AB14997651C0DDCDD8E3423EB48A938EC16124EA62ED37360BE3","C712C2228A3C86FB0BB9CCA50753F6164865FEC266F07FCF4A398167008BF9A3","A656C0049C8CEDD0BB19C6581C9DF42D"
"d:\WINDOWS\system32\dmsynth.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Software Synthesizer","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","5EFCB0E037C8DC500D0BB08943C583A4","F30DB96E0F9BE5899EAC35CCE0FA153A4B37D692","1B3D1993672748F95CFC7617856DF7015257EF6E","A81484A3DDDE268C2C6A1B704E0C3EF137105A8C7EB7EE76C2C7502D0D0E528A","0D1C3948D187FD1CF457A6833E7B211E0D72A63B208C45B7AD8BBE969B1637EF","88348090052DDA79D51D9ADD6787813D"
"d:\WINDOWS\system32\dmusic.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Core Services","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","D919F4E479D344CA34C9289390C03844","1A201FBC5B283CCE79B3F527B118BA487D539EF0","D94C5C776DE7E001ACB9BBF82700A58A6FC698EB","DA68894CCC92A50656EC78B7B01A2EAB1EB36EB110D905C32D1E8BF6BB15EF66","AF914551CDC6EB4CD62F0BED6ACEB722CD964D806316077A2D2867C74439CD86","39257D2F77C36713857220B053EDF06D"
"d:\WINDOWS\system32\dmutil.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corp.","Logical Disk Manager Utility Library","Logical Disk Manager for Windows NT","1.0","2600.5512.503.0","32-bit","3B548248A510EC24C8E46EA7D013E225","663E72231028D8E33DE99DB3DA9DC99A48ABC652","83F135C651EC49FE1B98CA5E81F49F31E498F846","483E28C756369D2B49E01C995FA07574E180AFC9AADDA3A580BF78F3EFA9F557","CC5D36CD5E8EFB7C353568E0FF3AE8292690085F9D783160B7E77183CD8C049C","944FA41730A0F8A5D22B9AAAF2C38365"
"d:\WINDOWS\system32\dmview.ocx","Unsigned","08:35 18/08/2001","n/a","Microsoft Corp.","Disk Management Snap-in","Logical Disk Manager for Windows NT","1.0","2600.0.503.0","32-bit","2C03D0C9473F12CBB0E341C4E4F1F31F","6C01326B3C2E40A4A3062D48B014718958EE04E3","37417DD5E126604E72CC00B45A716D1D2248A71B","1B62174B2AD6747CE6CFB2846CF6E7155F0EB0025EA75F22D3D4E141379B7BCE","49FE92376AA07DF558D4215A30C44D0DE3D1CAD4E372AA45E890B193299525E8","B8FF9C795F94F8ACC1E81C932F6641B6"
"d:\WINDOWS\system32\dnsapi.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","DNS Client API DLL","Microsoft® Windows® Operating System","5.1.2600.5512","5.1.2600.5512 (xpsp.080413-2113)","32-bit","0A3325D38DB90792BBBE01334F273974","35BEFEF01EFB323FDF2B529F0B630E085CCF68F8","F9080866911591A1CBB41FA0CBFA5A88A95F2760","1B52BFD5367019CA25ABAF534CE5AE1513287C14DA9CA81ED07B9DA9E6C584F9","5DC6F6FF65460D889D8487F18EA0A2437C17072867A85E6ADC70DA8E0DC82ACF","AB5A37258472F935DCE56E1C683CA32F"
"d:\WINDOWS\system32\dnsrslvr.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","DNS Caching Resolver Service","Microsoft® Windows® Operating System","5.1.2600.5512","5.1.2600.5512 (xpsp.080413-2113)","32-bit","474B4DC3983173E4B4C9740B0DAC98A6","2E2F3D37181966E4BE410340FC1A34D57A453642","B4097B990D72239B58A40B3A67326D1A1EBA2306","54BFED76E1D66B2C01A41AFDF4D8E76DB6D48192A4179DFBDB2661C7E054278A","C0B1B5B3A87529FFA93BCFCC2BC013A96CAD7F5049ED4D999E8D5D9AC91F95B7","36EABADDF5851C100DE8BA67E723CEF4"
"d:\WINDOWS\system32\docprop.dll","Unsigned","08:35 18/08/2001","n/a","Microsoft Corporation","OLE DocFile Property Page","Microsoft® Windows® Operating System","5.1.2600.0","5.1.2600.0 (xpclient.010817-1148)","32-bit","3D4F2A08C0D060B62894C1D1A25B5125","98646DD5CA68918083726BFA1417AD21EFAE3C27","B21EEB9357230C9285210B81DFC293BBA648E4A0","86287CB6FB8E73658C5BADCEA697581D6243CC86A231E5004DCFB0D8C7212D6E","3A21054B417B3DCCAD3491D961930BE3B218B6771FCBFECFE8E2B16CCB7C8B7E","F0680CF0A9B12A401508BC5F7D37B57D"
"d:\WINDOWS\system32\docprop2.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","Microsoft DocProp Shell Ext","Microsoft® Windows® Operating System","5.1.2600.5512","5.1.2600.5512 (xpsp.080413-2105)","32-bit","72DD38C9F051575BD767822E92C8F468","B1D8D921C93022A5A07F9BB10B7439A38D8E3F9F","630785096B52C7DC7F1934D76F1E7D29C258A0E7","56F8B23705CA8D9C7EFA7BEDF1B4816EBAA1A6857E660C6448CB2C7707F77DF2","7A28B3542A78A0A7FB7BBB32AE0D05115DA24A22C375E1EB8939EFF73956D8EC","E90429EA525E42508276883B2B47A762"
